Channel : 39 || Datarate : 0 || Error : packet is too long, couldnt display
Channel : 40 || Datarate : 0 || Address : 65:b9:54:48:ae:05 || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  d2  ca  84  77  c0  94  7f  e9  07  66  55  fb  bb   || Rest : 27  70  23  00  00  40  1d  00 
Channel : 41 || Datarate : 0 || Address : 2a:4f:91:9c:33:25 || Sender : c0:fd:31:a9:3f:26 || Adv_info : 1e  ff  06  00  01  09  20  00  e7  7e  71  8f  79  62  f1  36  9a  6f  4a  9b  c0  fd  31  a9  3f  26  48  3a  3e  18  af   || Rest : 27  94  23  00  00  42  25  00 
Channel : 37 || Datarate : 1 || Address : 68:6f:31:22:84:ec || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  f4  50  a6  2e  34  54  41  d5  c3  cb  ab  be  ca   || Rest : 25  88  26  00  00  40  1d  00 
Channel : 38 || Datarate : 1 || Address : 2c:f0:ee:1b:19:63 || Sender : unrecognized || Adv_info : 02  01  06  07  ff  4c  00  10  02  0b  00   || Rest : 25  94  26  00  00  00  11  00 
Channel : 39 || Datarate : 1 || Address : 0b:c3:24:88:81:60 || Sender : 02:03:d4:f0:d0:da || Adv_info : 1e  ff  06  00  01  09  20  00  0f  4a  0a  d7  28  43  3a  67  1a  79  b0  65  02  03  d4  f0  d0  da  f7  52  30  08  cf   || Rest : 25  a0  26  00  00  42  25  00 
Channel : 40 || Datarate : 1 || Address : 2a:4f:91:9c:33:25 || Sender : c0:fd:31:a9:3f:26 || Adv_info : 1e  ff  06  00  01  09  20  00  e7  7e  71  8f  79  62  f1  36  9a  6f  4a  9b  c0  fd  31  a9  3f  26  48  3a  3e  18  af   || Rest : 25  e2  26  00  00  42  25  00 
Channel : 41 || Datarate : 1 || Address : 6d:6a:73:13:dd:c5 || Sender : unrecognized || Adv_info : 02  01  1a  0a  ff  4c  00  10  05  0b  10  80  58  0a   || Rest : 26  f4  26  00  00  40  14  00 
Channel : 42 || Datarate : 1 || Address : 0b:c3:24:88:81:60 || Sender : 02:03:d4:f0:d0:da || Adv_info : 1e  ff  06  00  01  09  20  00  0f  4a  0a  d7  28  43  3a  67  1a  79  b0  65  02  03  d4  f0  d0  da  f7  52  30  08  cf   || Rest : 26  0c  27  00  00  42  25  00 
Channel : 43 || Datarate : 1 || Address : 2a:4f:91:9c:33:25 || Sender : c0:fd:31:a9:3f:26 || Adv_info : 1e  ff  06  00  01  09  20  00  e7  7e  71  8f  79  62  f1  36  9a  6f  4a  9b  c0  fd  31  a9  3f  26  48  3a  3e  18  af   || Rest : 27  4e  27  00  00  42  25  00 
Channel : 38 || Datarate : 0 || Address : 0b:c3:24:88:81:60 || Sender : 02:03:d4:f0:d0:da || Adv_info : 1e  ff  06  00  01  09  20  00  0f  4a  0a  d7  28  43  3a  67  1a  79  b0  65  02  03  d4  f0  d0  da  f7  52  30  08  cf   || Rest : 26  b4  33  00  00  42  25  00 
Channel : 39 || Datarate : 0 || Address : 68:6f:31:22:84:ec || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  f5  50  db  37  f5  ac  5d  c4  8d  b6  3e  62  64   || Rest : 26  b4  33  00  00  40  1d  00 
Channel : 40 || Datarate : 0 || Address : 68:6f:31:22:84:ec || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  f5  50  db  37  f5  ac  5d  c4  8d  b6  3e  62  64   || Rest : 26  d2  33  00  00  40  1d  00 
Channel : 41 || Datarate : 0 || Address : 7c:7a:91:3c:ad:24 || Sender : unrecognized || Adv_info : ec  84  22  31  6f  68   || Rest : 26  d2  33  00  00  83  0c  00 
Channel : 42 || Datarate : 0 || Address : 68:6f:31:22:84:ec || Sender : unrecognized || Adv_info :   || Rest : 26  d2  33  00  00  44  06  00 
Channel : 43 || Datarate : 0 || Address : 2c:f0:ee:1b:19:63 || Sender : unrecognized || Adv_info : 02  01  06  07  ff  4c  00  10  02  0b  00   || Rest : 26  d8  33  00  00  00  11  00 
Channel : 44 || Datarate : 0 || Address : 7c:7a:91:3c:ad:24 || Sender : unrecognized || Adv_info : 63  19  1b  ee  f0  2c   || Rest : 26  d8  33  00  00  03  0c  00 
Channel : 45 || Datarate : 0 || Address : 2c:f0:ee:1b:19:63 || Sender : unrecognized || Adv_info :   || Rest : 26  d8  33  00  00  04  06  00 
Channel : 46 || Datarate : 0 || Address : 68:6f:31:22:84:ec || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  f5  50  db  37  f5  ac  5d  c4  8d  b6  3e  62  64   || Rest : 26  f0  33  00  00  40  1d  00 
Channel : 47 || Datarate : 0 || Address : 2a:4f:91:9c:33:25 || Sender : c0:fd:31:a9:3f:26 || Adv_info : 1e  ff  06  00  01  09  20  00  e7  7e  71  8f  79  62  f1  36  9a  6f  4a  9b  c0  fd  31  a9  3f  26  48  3a  3e  18  af   || Rest : 26  f0  33  00  00  42  25  00 
Channel : 48 || Datarate : 0 || Address : 2c:f0:ee:1b:19:63 || Sender : unrecognized || Adv_info : 02  01  06  07  ff  4c  00  10  02  0b  00   || Rest : 26  f6  33  00  00  00  11  00 
Channel : 49 || Datarate : 0 || Address : 68:6f:31:22:84:ec || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  f5  50  db  37  f5  ac  5d  c4  8d  b6  3e  62  64   || Rest : 26  0e  34  00  00  40  1d  00 
Channel : 50 || Datarate : 0 || Address : 2c:f0:ee:1b:19:63 || Sender : unrecognized || Adv_info : 02  01  06  07  ff  4c  00  10  02  0b  00   || Rest : 26  1a  34  00  00  00  11  00 
Channel : 51 || Datarate : 0 || Address : 7c:7a:91:3c:ad:24 || Sender : unrecognized || Adv_info : 63  19  1b  ee  f0  2c   || Rest : 26  1a  34  00  00  03  0c  00 
Channel : 52 || Datarate : 0 || Address : 7c:7a:91:3c:ad:24 || Sender : unrecognized || Adv_info : ec  84  22  31  6f  68   || Rest : 27  2c  34  00  00  83  0c  00 
Channel : 53 || Datarate : 0 || Address : 7c:7a:91:3c:ad:24 || Sender : unrecognized || Adv_info : ec  84  22  31  6f  68   || Rest : 27  6e  34  00  00  83  0c  00 
Channel : 38 || Datarate : 1 || Address : 0b:c3:24:88:81:60 || Sender : 02:03:d4:f0:d0:da || Adv_info : 1e  ff  06  00  01  09  20  00  0f  4a  0a  d7  28  43  3a  67  1a  79  b0  65  02  03  d4  f0  d0  da  f7  52  30  08  cf   || Rest : 26  62  40  00  00  42  25  00 
Channel : 39 || Datarate : 1 || Address : 0b:c3:24:88:81:60 || Sender : 02:03:d4:f0:d0:da || Adv_info : 1e  ff  06  00  01  09  20  00  0f  4a  0a  d7  28  43  3a  67  1a  79  b0  65  02  03  d4  f0  d0  da  f7  52  30  08  cf   || Rest : 26  ce  40  00  00  42  25  00 
Channel : 40 || Datarate : 1 || Address : 2a:4f:91:9c:33:25 || Sender : c0:fd:31:a9:3f:26 || Adv_info : 1e  ff  06  00  01  09  20  00  e7  7e  71  8f  79  62  f1  36  9a  6f  4a  9b  c0  fd  31  a9  3f  26  48  3a  3e  18  af   || Rest : 27  04  41  00  00  42  25  00 
Channel : 41 || Datarate : 1 || Address : 6a:4b:a2:25:d6:3b || Sender : unrecognized || Adv_info : 05  ae  48  54  b9  65   || Rest : 27  10  41  00  00  c3  0c  00 
Channel : 37 || Datarate : 0 || Address : 2c:f0:ee:1b:19:63 || Sender : unrecognized || Adv_info : 02  01  06  07  ff  4c  00  10  02  0b  00   || Rest : 25  62  4c  00  00  00  11  00 
Channel : 38 || Datarate : 0 || Address : 2a:4f:91:9c:33:25 || Sender : c0:fd:31:a9:3f:26 || Adv_info : 1e  ff  06  00  01  09  20  00  e7  7e  71  8f  79  62  f1  36  9a  6f  4a  9b  c0  fd  31  a9  3f  26  48  3a  3e  18  af   || Rest : 25  62  4c  00  00  42  25  00 
Channel : 39 || Datarate : 0 || Address : 2a:4f:91:9c:33:25 || Sender : c0:fd:31:a9:3f:26 || Adv_info : 1e  ff  06  00  01  09  20  00  e7  7e  71  8f  79  62  f1  36  9a  6f  4a  9b  c0  fd  31  a9  3f  26  48  3a  3e  18  af   || Rest : 26  ce  4c  00  00  42  25  00 
Channel : 40 || Datarate : 0 || Address : 68:6f:31:22:84:ec || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  f5  50  db  37  f5  ac  5d  c4  8d  b6  3e  62  64   || Rest : 27  16  4d  00  00  40  1d  00 
Channel : 37 || Datarate : 1 || Error : packet is too long, couldnt display
Channel : 38 || Datarate : 1 || Address : 65:b9:54:48:ae:05 || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  d3  ca  bb  36  d7  8b  64  d3  be  1f  6c  7a  96   || Rest : 25  4c  56  00  00  40  1d  00 
Channel : 39 || Datarate : 1 || Address : 0b:c3:24:88:81:60 || Sender : 02:03:d4:f0:d0:da || Adv_info : 1e  ff  06  00  01  09  20  00  0f  4a  0a  d7  28  43  3a  67  1a  79  b0  65  02  03  d4  f0  d0  da  f7  52  30  08  cf   || Rest : 25  70  56  00  00  42  25  00 
Channel : 40 || Datarate : 1 || Address : 41:6d:fc:90:bc:16 || Sender : unrecognized || Adv_info : 63  19  1b  ee  f0  2c   || Rest : 25  76  56  00  00  43  0c  00 
Channel : 41 || Datarate : 1 || Address : 2a:4f:91:9c:33:25 || Sender : c0:fd:31:a9:3f:26 || Adv_info : 1e  ff  06  00  01  09  20  00  e7  7e  71  8f  79  62  f1  36  9a  6f  4a  9b  c0  fd  31  a9  3f  26  48  3a  3e  18  af   || Rest : 26  9a  56  00  00  42  25  00 
